filename,activity_id,activities,watch_loc,path_idx,step_count
train_trace_053.pkl,0,"[0, 1, 2]",2,3,-1.0
train_trace_047.pkl,0,"[0, 1, 2, 3]",2,4,
train_trace_090.pkl,1,"[1, 3]",0,3,155.0
train_trace_084.pkl,1,[1],1,4,
train_trace_251.pkl,1,"[1, 3]",0,2,293.0
train_trace_245.pkl,1,"[1, 2]",2,1,-1.0
train_trace_279.pkl,0,"[0, 1]",0,4,-1.0
train_trace_292.pkl,1,[1],0,4,
train_trace_286.pkl,1,[1],2,4,
train_trace_325.pkl,1,[1],2,0,-1.0
train_trace_331.pkl,1,[1],1,4,
train_trace_319.pkl,1,"[1, 2]",1,0,
train_trace_127.pkl,0,"[0, 1, 3]",1,3,287.0
train_trace_133.pkl,1,[1],2,1,
train_trace_132.pkl,0,"[0, 1, 2]",1,2,-1.0
train_trace_126.pkl,1,[1],2,4,-1.0
train_trace_318.pkl,1,[1],0,0,
train_trace_330.pkl,1,[1],2,4,
train_trace_324.pkl,1,[1],0,1,
train_trace_287.pkl,2,[2],0,4,
train_trace_293.pkl,1,"[1, 2]",1,3,
train_trace_278.pkl,1,[1],0,4,
train_trace_244.pkl,1,[1],1,2,
train_trace_250.pkl,1,[1],0,4,
train_trace_085.pkl,2,"[2, 1]",1,4,
train_trace_091.pkl,1,[1],1,2,
train_trace_046.pkl,1,[1],2,4,-1.0
train_trace_052.pkl,1,[1],2,4,-1.0
train_trace_044.pkl,1,[1],2,0,
train_trace_050.pkl,2,"[2, 0, 1]",0,2,
train_trace_078.pkl,0,"[0, 1]",0,0,
train_trace_087.pkl,1,[1],2,4,
train_trace_093.pkl,1,"[1, 3]",0,2,172.0
train_trace_246.pkl,1,[1],2,1,
train_trace_252.pkl,1,[1],2,3,
train_trace_285.pkl,1,[1],0,4,-1.0
train_trace_291.pkl,0,"[0, 1, 3]",2,0,
train_trace_332.pkl,1,"[1, 2]",2,1,-1.0
train_trace_326.pkl,1,[1],1,4,
train_trace_130.pkl,1,[1],2,4,-1.0
train_trace_124.pkl,1,[1],2,1,
train_trace_118.pkl,1,[1],1,1,-1.0
train_trace_119.pkl,1,[1],1,0,
train_trace_125.pkl,1,[1],2,3,
train_trace_131.pkl,3,[3],2,0,0.0
train_trace_327.pkl,1,[1],1,2,-1.0
train_trace_333.pkl,3,[3],2,2,-1.0
train_trace_290.pkl,1,[1],0,2,
train_trace_284.pkl,1,[1],1,0,
train_trace_253.pkl,1,[1],0,0,1037.0
train_trace_247.pkl,1,[1],2,2,
train_trace_092.pkl,1,[1],2,4,
train_trace_086.pkl,3,[3],0,0,0.0
train_trace_079.pkl,0,"[0, 1, 2]",2,4,-1.0
train_trace_051.pkl,1,"[1, 0, 1]",2,2,
train_trace_045.pkl,1,[1],0,0,
train_trace_069.pkl,1,[1],1,4,
train_trace_041.pkl,1,[1],1,0,
train_trace_055.pkl,0,"[0, 1]",0,0,
train_trace_082.pkl,1,[1],0,1,-1.0
train_trace_096.pkl,2,[2],1,3,-1.0
train_trace_243.pkl,0,"[0, 1]",0,2,
train_trace_257.pkl,1,[1],0,2,
train_trace_280.pkl,1,[1],2,0,
train_trace_294.pkl,1,[1],1,1,1004.0
train_trace_337.pkl,1,[1],0,3,
train_trace_323.pkl,1,[1],0,3,-1.0
train_trace_109.pkl,1,"[1, 2]",2,4,-1.0
train_trace_135.pkl,1,[1],0,0,
train_trace_121.pkl,0,"[0, 1, 3]",2,2,-1.0
train_trace_120.pkl,1,"[1, 0, 1]",2,1,
train_trace_134.pkl,1,[1],0,2,
train_trace_108.pkl,1,[1],0,1,
train_trace_322.pkl,1,[1],0,3,-1.0
train_trace_336.pkl,1,[1],1,1,
train_trace_295.pkl,1,[1],2,2,
train_trace_281.pkl,0,"[0, 1]",2,3,
train_trace_256.pkl,1,[1],0,0,-1.0
train_trace_242.pkl,1,[1],2,3,
train_trace_097.pkl,0,"[0, 1]",1,3,
train_trace_083.pkl,1,"[1, 3]",2,0,-1.0
train_trace_054.pkl,0,"[0, 1]",1,2,1000.0
